"EVER90","FICO","LTV","INCOME","CA"
1,576,0.86,5,Other
1,678,0.9,3,California
1,693,0.8,5,Other
1,669,0.75,4,Other
1,542,0.95,4,Other
1,566,0.95,3,Other
1,643,0.84,5,Other
0,785,0.58,5,Other
1,461,0.8,4,Other
0,785,0.85,5,Other
1,620,0.95,3,Other
0,792,0.79,3,Other
0,748,0.9,4,Other
1,661,0.75,5,Other
0,753,0.7,5,Other
0,747,0.95,4,Other
0,720,0.88,5,Other
0,717,0.89,4,Other
0,763,0.9,5,Other
1,782,0.9,4,California
0,758,0.42,5,Other
0,697,0.8,5,Other
1,690,0.75,2,Other
0,746,0.9,5,California
0,679,0.7,5,Other
0,767,0.8,2,Other
0,733,0.88,5,Other
0,679,0.75,2,Other
0,765,0.36,3,Other
0,678,0.95,5,Other
0,782,0.62,4,Other
0,777,0.8,5,Other
0,765,0.63,5,Other
0,769,0.59,5,Other
0,720,0.38,5,Other
0,758,0.9,4,Other
0,724,0.7,5,Other
1,611,0.9,5,Other
0,639,0.61,5,Other
0,761,0.5,3,Other
1,549,0.66,3,Other
0,639,0.68,6,Other
0,719,0.61,5,Other
0,801,0.73,2,Other
0,765,0.9,5,Other
1,598,0.95,5,Other
1,603,0.95,4,Other
0,710,0.67,2,Other
0,774,0.48,5,Other
0,738,0.73,5,Other
1,676,0.73,3,Other
0,768,0.78,5,Other
0,765,0.9,5,Other
0,766,0.87,5,Other
0,729,0.9,4,Other
0,766,0.68,5,Other
1,671,0.75,1,Other
0,782,0.8,2,Other
1,756,0.75,2,Other
0,791,0.89,4,Other
1,650,0.85,3,Other
0,704,0.75,3,Other
1,664,0.8,8,California
0,762,0.62,4,Other
0,733,0.7,3,Other
1,634,0.95,5,California
0,797,0.26,3,California
1,624,0.9,5,California
0,749,0.7,2,Other
0,687,0.95,3,Other
0,732,0.72,4,California
0,669,0.8,5,Other
0,692,0.79,5,Other
0,777,0.8,3,California
0,682,0.47,4,California
0,772,0.8,5,Other
0,809,0.75,5,Other
0,728,0.74,5,Other
0,669,0.67,5,California
1,692,0.75,4,Other
0,721,0.75,5,Other
1,742,0.69,5,Other
0,687,0.79,2,Other
0,696,0.83,5,California
1,586,0.9,5,Other
0,727,0.8,3,California
0,725,0.8,7,Other
1,652,0.95,5,California
1,722,0.8,5,California
1,606,0.8,4,Other
0,761,0.8,5,Other
0,777,0.8,5,Other
0,629,0.29,5,Other
1,742,0.74,3,Other
0,752,0.61,2,Other
